id,label,subTypeOf,equivalentClass,subTypes,supersedes,supersededBy,isPartOf
https://schema.org/JewelryStore,JewelryStore,https://schema.org/Store,,,,,
https://schema.org/JobPosting,JobPosting,https://schema.org/Intangible,,,,,
https://schema.org/JoinAction,JoinAction,https://schema.org/InteractAction,,,,,
https://schema.org/Joint,Joint,https://schema.org/AnatomicalStructure,,,,,
https://schema.org/KeepProduct,KeepProduct,,,,,,https://pending.schema.org
https://schema.org/KosherDiet,KosherDiet,,,,,,
https://schema.org/LaboratoryScience,LaboratoryScience,,,,,,
https://schema.org/LakeBodyOfWater,LakeBodyOfWater,https://schema.org/BodyOfWater,,,,,
https://schema.org/Landform,Landform,https://schema.org/Place,,"https://schema.org/BodyOfWater, https://schema.org/Continent, https://schema.org/Mountain, https://schema.org/Volcano",,,
https://schema.org/LandmarksOrHistoricalBuildings,LandmarksOrHistoricalBuildings,https://schema.org/Place,,,,,
https://schema.org/Language,Language,https://schema.org/Intangible,,,,,
https://schema.org/LaserDiscFormat,LaserDiscFormat,,,,,,
https://schema.org/LearningResource,LearningResource,https://schema.org/CreativeWork,,"https://schema.org/Course, https://schema.org/Quiz, https://schema.org/Syllabus",,,https://pending.schema.org
https://schema.org/LeaveAction,LeaveAction,https://schema.org/InteractAction,,,,,
https://schema.org/LeftHandDriving,LeftHandDriving,,,,,,
https://schema.org/LegalForceStatus,LegalForceStatus,https://schema.org/StatusEnumeration,,,,,https://pending.schema.org
https://schema.org/LegalService,LegalService,https://schema.org/LocalBusiness,,"https://schema.org/Attorney, https://schema.org/Notary",,,
https://schema.org/LegalValueLevel,LegalValueLevel,https://schema.org/Enumeration,,,,,https://pending.schema.org
https://schema.org/Legislation,Legislation,https://schema.org/CreativeWork,,https://schema.org/LegislationObject,,,https://pending.schema.org
https://schema.org/LegislationObject,LegislationObject,"https://schema.org/Legislation, https://schema.org/MediaObject",,,,,https://pending.schema.org
https://schema.org/LegislativeBuilding,LegislativeBuilding,https://schema.org/GovernmentBuilding,,,,,
https://schema.org/LeisureTimeActivity,LeisureTimeActivity,,,,,,
https://schema.org/LendAction,LendAction,https://schema.org/TransferAction,,,,,
https://schema.org/Library,Library,https://schema.org/LocalBusiness,,,,,
https://schema.org/LibrarySystem,LibrarySystem,https://schema.org/Organization,,,,,https://pending.schema.org
https://schema.org/LifestyleModification,LifestyleModification,https://schema.org/MedicalEntity,,"https://schema.org/Diet, https://schema.org/PhysicalActivity",,,
https://schema.org/Ligament,Ligament,https://schema.org/AnatomicalStructure,,,,,
https://schema.org/LikeAction,LikeAction,https://schema.org/ReactAction,,,,,
https://schema.org/LimitedAvailability,LimitedAvailability,,,,,,
https://schema.org/LimitedByGuaranteeCharity,LimitedByGuaranteeCharity,,,,,,https://pending.schema.org
https://schema.org/LinkRole,LinkRole,https://schema.org/Role,,,,,https://pending.schema.org
https://schema.org/LiquorStore,LiquorStore,https://schema.org/Store,,,,,
https://schema.org/ListItem,ListItem,https://schema.org/Intangible,,"https://schema.org/HowToDirection, https://schema.org/HowToItem, https://schema.org/HowToSection, https://schema.org/HowToStep, https://schema.org/HowToTip",,,
https://schema.org/ListPrice,ListPrice,,,,,,https://pending.schema.org
https://schema.org/ListenAction,ListenAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/LiteraryEvent,LiteraryEvent,https://schema.org/Event,,,,,
https://schema.org/LiveAlbum,LiveAlbum,,,,,,
https://schema.org/LiveBlogPosting,LiveBlogPosting,https://schema.org/BlogPosting,,,,,
https://schema.org/LivingWithHealthAspect,LivingWithHealthAspect,,,,,,https://pending.schema.org
https://schema.org/LoanOrCredit,LoanOrCredit,https://schema.org/FinancialProduct,,"https://schema.org/CreditCard, https://schema.org/MortgageLoan",,,
https://schema.org/LocalBusiness,LocalBusiness,"https://schema.org/Organization, https://schema.org/Place",,"https://schema.org/AnimalShelter, https://schema.org/ArchiveOrganization, https://schema.org/AutomotiveBusiness, https://schema.org/ChildCare, https://schema.org/Dentist, https://schema.org/DryCleaningOrLaundry, https://schema.org/EmergencyService, https://schema.org/EmploymentAgency, https://schema.org/EntertainmentBusiness, https://schema.org/FinancialService, https://schema.org/FoodEstablishment, https://schema.org/GovernmentOffice, https://schema.org/HealthAndBeautyBusiness, https://schema.org/HomeAndConstructionBusiness, https://schema.org/InternetCafe, https://schema.org/LegalService, https://schema.org/Library, https://schema.org/LodgingBusiness, https://schema.org/MedicalBusiness, https://schema.org/ProfessionalService, https://schema.org/RadioStation, https://schema.org/RealEstateAgent, https://schema.org/RecyclingCenter, https://schema.org/SelfStorage, https://schema.org/ShoppingCenter, https://schema.org/SportsActivityLocation, https://schema.org/Store, https://schema.org/TelevisionStation, https://schema.org/TouristInformationCenter, https://schema.org/TravelAgency",,,
https://schema.org/LocationFeatureSpecification,LocationFeatureSpecification,https://schema.org/PropertyValue,,,,,
https://schema.org/LockerDelivery,LockerDelivery,,,,,,
https://schema.org/Locksmith,Locksmith,https://schema.org/HomeAndConstructionBusiness,,,,,
https://schema.org/LodgingBusiness,LodgingBusiness,https://schema.org/LocalBusiness,,"https://schema.org/BedAndBreakfast, https://schema.org/Campground, https://schema.org/Hostel, https://schema.org/Hotel, https://schema.org/Motel, https://schema.org/Resort, https://schema.org/VacationRental",,,
https://schema.org/LodgingReservation,LodgingReservation,https://schema.org/Reservation,,,,,
https://schema.org/LoginAction,LoginAction,https://schema.org/ControlAction,,,,,https://pending.schema.org
https://schema.org/Longitudinal,Longitudinal,,,,,,
https://schema.org/LoseAction,LoseAction,https://schema.org/AchieveAction,,,,,
